adv_id	lat	lng	nombre_pieces	surface_habitable	loyer_mois
103373144	46.1505019	5.9743701	4.0	71	1282.00
103342520	46.1950298	5.9945503	6.0	NULL	4950.00
103387613	46.1957556	5.9944519	3.0	75	1930.00
103326494	46.1775977	6.0775006	2.0	NULL	1415.00
103387630	46.1771885	6.0779441	5.0	111	1906.00
103384417	46.175103	6.073338	8.0	220	7000.00
103348065	46.1798216	6.0888687	6.0	NULL	5000.00
103381096	46.1884095	6.0441452	5.0	100	3300.00
103356988	46.2161568	6.0885759	5.5	NULL	2850.00
103365817	46.233855	6.075975	3.5	77	2130.00
103388561	46.233141	6.079429	2.0	35	1025.00
103369941	46.231178	6.075563	3.0	55	1500.00
103383640	46.2081691	6.0276732	5.5	150	4500.00
103318847	46.2011846	6.0937417	8.0	137	4070.00
103387717	46.2007201	6.0985602	3.5	68	1350.00
103374518	46.1996095	6.1492856	3.5	90	5680.00
103374189	46.1974896	6.1565666	5.5	NULL	4750.00
103377720	46.194979	6.159683	3.5	NULL	4600.00
103391510	46.1873823	6.1546415	2.5	NULL	2405.00
103381645	46.1909667	6.1549715	1.0	30	1650.00
103383520	46.1953948	6.1527423	6.0	122	3730.00
103388566	46.1953948	6.1527423	5.0	103	3246.00
103386763	46.189094	6.152451	1.5	35	1900.00
103389101	46.190728	6.151428	3.0	64	2360.00
103385932	46.1875988	6.1594422	3.0	62	1755.00
103385933	46.1948545	6.1534935	5.0	104	3051.00
103382004	46.1919783	6.1640418	1.0	42	4000.00
103366814	46.1894059	6.1545808	1.0	NULL	2200.00
103368040	46.1997761	6.1543101	7.0	168	7300.00
103388562	46.199818	6.156395	1.5	18	900.00
103387048	46.19512	6.1713917	5.0	NULL	4400.00
103377719	46.1915	6.1639105	1.0	NULL	3580.00
103377722	46.194627	6.16776	2.0	40	2560.00
103358049	46.1997078	6.1739378	6.5	NULL	5800.00
103383527	46.193263	6.166253	5.0	91	3450.00
103385359	46.1760947	6.1183212	1.5	36	1090.00
103377714	46.1748403	6.1141556	3.0	NULL	1815.00
103385874	46.1722181	6.1346418	4.0	NULL	2585.00
103376634	46.179177	6.118777	5.0	93	3090.00
103363667	46.1882991	6.1202532	6.0	105	5000.00
103373849	46.1883975	6.1102373	1.5	30	1040.00
103389590	46.1883975	6.1102373	5.0	80	2000.00
103385741	46.1893344	6.1141655	7.0	180	4904.00
103389042	46.1932583	6.115806	4.0	78	1524.00
103386295	46.1968233	6.121381	5.0	102	3190.00
103382748	46.1869136	6.1049496	5.0	85	1972.00
103381012	46.185355	6.1032521	1.5	21	1160.00
103384941	46.1936432	6.1073838	4.0	87	1468.00
103375742	46.19738	6.18121	6.0	210	6800.00
103386643	46.1965251	6.1909091	5.0	99	3025.00
103389597	46.1964161	6.190808	1.5	32	910.00
103356980	46.1912237	6.185823	7.0	218	6650.00
103375914	46.1948853	6.1915038	4.0	NULL	2800.00
103214742	46.1908279	6.1373566	1.0	24	895.00
103323719	46.1908279	6.1373566	1.0	27	1200.00
103389586	46.1887067	6.1406588	1.5	24	720.00
103383285	46.1874908	6.1405453	2.0	45	1525.00
103378569	46.1804287	6.1390171	1.0	NULL	1000.00
103348015	46.1634542	6.1167892	6.0	225	5300.00
103377181	46.1655678	6.1352802	6.0	120	3500.00
103279833	46.1640073	6.1178592	5.0	150	5900.00
103390699	46.1894923	6.1463917	3.5	NULL	1700.00
103326993	46.1746458	6.1556932	8.0	350	11300.00
103383732	46.15691	6.12673	10.0	260	10900.00
