geocode	commune	pop_natio_dens_2015	pop_natio_part_etr_2015	pop_natio_part_natifs_2010	pop_natio_pop_31_12_2015	pop_age_taux_dep_2015	pop_age_ind_fecond_2015	pop_evol_taux_1950_2000	pop_evol_taux_2000_2010	pop_mouv_tx_natur_2010	envir_tx_dechet_2010	agricult_part_sau_2010	loge_vac_tx_vac_2015	transports_tx_vehic_2014	sante_divers_tx_hospit_2014	infraction_tx_code_2015
5744	Ballaigues	118	15.1	4.6	1069	83.7	0.67	-0.12	0.56	8.43	406	42.4	1.03	574	159	22.1
5745	Baulmes	45.9	17	3.1	1034	61.1	0.48	-0.09	0.23	0	254	21.5	0	596	152	18.6
5746	Bavois	101	18.6	6.1	939	50	0.55	0.51	0.63	1.02	437	72.2	0.25	608	134	48.9
5747	Bofflens	44.3	3.7	3.9	187	57.1	0.67	-0.39	1.45	0	350	78	1.08	735	70	21.2
5748	Bretonnières	46.2	8.3	2.9	252	71.4	0.58	-0.13	0.84	0	390	56.5	0	568	103	16.9
5749	Chavornay	376	26.1	2.5	4156	56.6	0.57	1.39	2.53	1.38	343	84.6	0.18	572	127	49.5
5750	Les Clées	26.4	10.2	3	186	72.2	0.5	0.1	0.37	0	344	21	0	688	118	45.5
5751	Corcelles-sur-Chavornay	64.2	9.9	5	352	70.9	0.59	-0.22	0.42	0	413	50.7	0	627	201	48
5752	Croy	74.8	8.7	2.8	335	85.1	0.48	0.14	1.47	8.82	457	32.4	1.25	542	88	12.5
5754	Juriens	32.3	6.3	4.9	302	61.5	0.52	0.04	1.11	11.1	328	33.8	0	609	127	9.8
5755	Lignerolle	37	13.5	2.9	394	58.2	0.72	0.62	1.43	13.5	330	27.9	2.63	604	130	46
5756	Montcherand	155	10.1	2.8	474	57.5	0.58	0.83	0.74	0	347	96.8	1.54	588	134	29.7
5757	Orbe	563	31.6	9.6	6767	61.8	0.5	0.7	2.55	2.16	455	73.1	0.48	547	157	55
5758	La Praz	31.3	10.6	1.2	160	60	0.59	-0.14	2.96	0	436	40.2	0	712	0	38
5759	Premier	30.2	4.3	3.2	185	63.7	0.61	0.72	-0.81	0	390	39.8	0	665	165	22.1
5760	Rances	46.8	10.7	4.7	460	71	0.75	0.01	0.4	0	345	33.8	1.97	633	97	87.6
5761	Romainmôtier-Envy	75.3	15.6	4.4	525	59.1	0.5	0.2	1.3	1.59	450	18.5	0.74	520	107	24.7
5762	Sergey	98.6	9.7	0.7	144	60	0.39	0.29	2.66	0	247	49.7	0	669	0	0
5763	Valeyres-sous-Rances	94.2	18	6.7	600	58.3	0.74	0.36	0.29	0	334	79.7	0.83	628	112	32.5
5764	Vallorbe	157	28.1	5.6	3650	67.7	0.62	-0.54	0.69	1.74	403	19.4	0.44	521	185	60.6
5765	Vaulion	37.3	9.8	13	491	66.4	0.55	-0.88	0.22	0	421	21.8	1.09	663	139	22.8
5766	Vuiteboeuf	106	19.9	0.8	538	59.6	0.77	0.6	1.72	3.57	266	52.5	0.42	642	117	71.2
5782	Carrouge	222	19.4	2.5	1204	62.7	0.57	1.26	1.37	6.59	480	73.6	0.65	604	124	20.7
5785	Corcelles-le-Jorat	53.1	14.5	3.6	421	70.4	0.55	0.22	0.07	2.7	457	76.5	0.98	689	147	33.8
5788	Essertes	200	18.5	1.3	330	61.8	0.54	1.13	2.13	2.44	422	111	2.03	697	108	24.2
5789	Ferlens	155	6.5	3.3	336	62.3	0.48	1.06	2.21	0	444	86.3	4.32	676	111	15.1
5790	Maracon	101	10.6	4.4	444	62.6	0.61	0.71	0.99	2.78	491	51	1.01	649	111	4.5
5791	Mézières	349	15.3	1.9	1215	68	0.61	1.37	1.06	1.53	543	71.7	0.35	607	149	61.2
5792	Montpreveyres	153	20.9	0.4	628	60.6	0.42	0.84	3.89	1.05	544	25.6	0.4	548	101	18.4
5798	Ropraz	83.9	21	4.3	405	63.3	0.76	0.7	0.71	0	355	70.2	1.05	614	105	44
5799	Servion	301	17.3	0.3	1908	62.9	0.59	2.82	1.07	3.03	598	28.9	0.78	631	108	32.8
5803	Vulliens	69.7	12.3	4	462	57.7	0.63	0.47	-0.09	0	242	68.9	0.51	638	103	31.7
5804	Jorat-Menthue	86	15.6	2.3	1518	61.8	0.65	0.59	1.55	1.29	366	51.9	0	645	119	22.4
5805	Oron	215	20.4	3	5297	65.4	0.57	0.82	1.85	2.35	468	76	2.54	558	156	67.1
5812	Champtauroz	43.6	13.5	5	133	98.5	0.5	-0.78	1.31	14.3	353	73.5	0	562	88	14.6
5813	Chevroux	98.4	8.6	11.2	430	74.8	0.66	0.29	0.4	0	671	54.7	0	627	143	83.9
5816	Corcelles-près-Payerne	184	24.5	5.4	2229	66.7	0.57	0.56	1.51	2.61	437	120	1.26	588	124	37.8
5817	Grandcour	83.8	12.4	10.2	856	72.9	0.65	-0.04	0.56	0	405	74.1	1.83	597	158	15.1
